t,T
3.125,25.764643589794424
3.1500000000000004,25.77680059825458
3.1750000000000003,25.789051917813754
3.2,25.801397512073926
3.225,25.813837344651294
3.25,25.826371379176074
3.2750000000000004,25.838999579292583
3.3000000000000003,25.851721908659254
3.325,25.864538330948555
3.35,25.87744880984709
3.375,25.890453309055435
3.4000000000000004,25.90355179228832
3.4250000000000003,25.916744223274506
3.45,25.930030565756795
3.475,25.943410783492038
3.5,25.95688484025115
3.5250000000000004,25.97045269981902
3.5500000000000003,25.984114325994657
3.575,25.997869682591038
3.6,26.011718733435156
3.625,26.025661442368033
3.6500000000000004,26.039697773244725
3.6750000000000003,26.05382768993427
3.7,26.06805115631967
3.725,26.08236813629798
3.75,26.09677859378022
3.7750000000000004,26.111282492691345
3.8000000000000003,26.125879796970384
3.825,26.140570470570253
3.85,26.155354477457863
3.875,26.170231781614095
3.9000000000000004,26.18520234703379
3.9250000000000003,26.20026613772572
3.95,26.21542311771259
3.975,26.230673251031096
4.0,26.24601650173183
4.025,26.261452833879304
4.05,26.276982211551974
4.075,26.292604598842217
4.1000000000000005,26.3083199598563
4.125,26.324128258714428
4.15,26.3400294595507
4.175,26.356023526513077
4.2,26.372110423763427
4.2250000000000005,26.388290115477545
4.25,26.404562565845072
4.275,26.420927739069526
4.3,26.437385599368287
4.325,26.4539361109726
4.3500000000000005,26.470579238127595
4.375,26.48731494509224
4.4,26.50414319613935
4.425,26.52106395555558
4.45,26.5380771876414
4.4750000000000005,26.555182856711188
4.5,26.572380927093082
4.525,26.589671363129053
4.55,26.607054129174923
4.575,26.624529189600292
4.6000000000000005,26.642096508788548
4.625,26.659756051136927
4.65,26.67750778105643
4.675,26.695351662971888
4.7,26.71328766132185
4.7250000000000005,26.7313157405587
4.75,26.74943586514855
4.775,26.76764799957133
4.800000000000001,26.7859521083207
4.825,26.80434815590411
4.8500000000000005,26.822836106842722
4.875,26.841415925671484
4.9,26.860087576939065
4.925000000000001,26.878851025207886
4.95,26.89770623505409
4.9750000000000005,26.91665317106751
5.0,26.93569179785177
5.025,26.954822080024165
5.050000000000001,26.974043982215715
5.075,26.993357469071164
5.1000000000000005,27.012762505248915
5.125,27.03225905542109
5.15,27.051847084273493
5.175000000000001,27.07152655650562
5.2,27.09129743683066
5.2250000000000005,27.111159689975423
5.25,27.13111328068046
5.275,27.151158173699955
5.300000000000001,27.17129433380172
5.325,27.19152172576725
5.3500000000000005,27.2118403143917
5.375,27.232250064483864
5.4,27.252750940866115
5.425000000000001,27.273342908374524
5.45,27.294025931858744
5.4750000000000005,27.31479997618212
5.5,27.335665006221554
5.525,27.356620986867537
5.550000000000001,27.377667883024237
5.575,27.398805659609383
5.6000000000000005,27.42003428155431
5.625,27.441353713803906
5.65,27.462763921316704
5.675000000000001,27.484264869064777
5.7,27.505856522033795
5.7250000000000005,27.52753884522292
5.75,27.549311803645033
5.775,27.57117536232643
5.800000000000001,27.593129486307014
